"little_important","women","3_18-23",26
"important","women","3_18-23",12
"very_important","women","3_18-23",7
"little_important","women","1_24-40",9
"important","women","1_24-40",21
"very_important","women","1_24-40",15
"little_important","women","2_>40",5
"important","women","2_>40",14
"very_important","women","2_>40",41
"little_important","men","3_18-23",40
"important","men","3_18-23",17
"very_important","men","3_18-23",8
"little_important","men","1_24-40",17
"important","men","1_24-40",15
"very_important","men","1_24-40",12
"little_important","men","2_>40",8
"important","men","2_>40",15
"very_important","men","2_>40",18
